ts,action,symbol,qty,reason
2026-08-10T00:18:30.468812+00:00,news-veto,COHR,,Named in earnings-volatility watch with a double-digit implied move on results due this week — binary event risk not in the signal.
2026-08-10T15:40:09.479972+00:00,entry,ATO,117,meanrev
2026-08-11T15:41:37.428254+00:00,entry,CNP,149,meanrev
2026-08-12T15:40:40.113223+00:00,entry,SE,79,momentum
2026-08-17T15:02:57.073676+00:00,entry,STX,5,momentum
2026-08-17T15:02:57.138134+00:00,entry,STT,103,momentum
2026-08-17T15:02:57.138288+00:00,exit,SE,,stop-or-signal
2026-08-19T15:13:38.410928+00:00,exit,STX,,stop-or-signal
2026-08-20T13:40:34.215545+00:00,news-veto,MRNA,,Extreme price dislocation: stock exploded 177% on cancer vaccine trial data and is now down over 11% in premarket; with mixed follow-through across the mRNA complex and only an Equal-Weight/$89 PT from Morgan Stanley. Any entry signal was generated on pre-gap prices and is invalidated; opening into a two-way 100%+ move is uncontrolled risk.
2026-08-20T15:17:51.443742+00:00,entry,ITW,12,meanrev
2026-08-21T15:15:46.404080+00:00,exit,STT,,stop-or-signal
